# フェイスサムネ位置定義ファイル
#
# 凡例:
#	キャラ名,ポーズ名,ox,oy,zorder[,ox2,oy2,zorder2]
#	キャラ名,*,ox,oy,zorder
#	*,*,ox,oy,zorder
#
# ※ ox,oy,zorderの指定が無い場合に「キャラ名,*」→「*,*」の順に定義されているものが使用されます
#    なお，"*,*"指定は一番先頭に，"キャラ名,*"はそのキャラ定義において一番前に定義する必要あります
# ※ ox2,oy2,zorder2は立ち絵から切り出す用（face別素材の場合）
#
# 調整:
#  「デバッグ／顔サムネ位置調整」にて定義済みの キャラ名/ポーズ名(*除く) の位置調整ができます
#
# 事前準備（内部向け資料）:
# ・顔領域サイズ
#   SystemConfig.FaceThumbRect = [ w, h ];
# ・data/main/facethumbdraw.tjs
# ・setup/debug/facethumbedit.*
# ・custom.tjsにロード処理
#
*,*,0,400,100
#---------------------------------------------------------------メイン
莉音,*,-8,251,100
恋乃香,*,61,196,100
晶,*,-21,280,100
奈々子,*,-9,259,100
摩耶,*,47,261,100
ひなた,*,62,182,100
楓,*,-52,245,100
優華理,*,-6,321,100
リリア,*,-5,95,100
リーシャ,*,-33,320,100
#---------------------------------------------------------------サブ
絵美里,*,-33,86,100
めぐみ,*,-10,283,100
薫,*,19,307,100
玲奈,*,-20,275,100
舞,*,-23,129,100
祈子,*,60,266,100
かなめ,*,15,231,100
道子,*,-37,240,100
珠子,*,-1,277,100
遙香,*,-10,330,100
