#話者に対するボイス割り当て用の情報を記載します 
#話者名,ボイスファイル名,ボイスコンフィグ名,音量調整(%),エイリアス,口ぱく閾値1,口ぱく閾値2

# マッチング処理を使う場合

# コマンド指定の場合 ファイル名は↓のマッチングを使う
# @コマンド名 ファイル名 ファイル名 ファイル名  ※複数指定可能
# マッチング用コマンドタグ定義,タグ名
#__command__,vo

# __command__ を定義しなければ、コマンド名無しで @ファイル名 での直接マッチングになる
# ファイル名の正規表現マッチ用
# マッチング用正規表現定義,正規表現,マッチ位置番号,マッチ結果をカットして判定する場合の文字数
#__match__,^([^\d]+)\d\d\d\d[^\d]*$,1,2

# デフォルト定義
DEFAULT,VOICE%s%03d,ETC,100,NONAME,10,44
#---------------------------------------------------------------主人公
炎寿馬,x00_%05d,炎寿馬,100,&f.name,,,0x468FFE
#---------------------------------------------------------------メイン
莉音,a01%0d5,莉音,100,,,,0xFE46BB
恋乃香,a02%0d5,恋乃香,100,,,,0xFE46BB
晶,a03%0d5,晶,100,,,,0xFE46BB
奈々子,a04%0d5,奈々子,100,,,,0xFE46BB
摩耶,a05%0d5,摩耶,100,,,,0xFE46BB
ひなた,a06%0d5,ひなた,100,,,,0xFE46BB
楓,a07%0d5,楓,100,,,,0xFE46BB
優華理,a08%0d5,優華理,100,,,,0xFE46BB
リリア,a09%0d5,リリア,100,,,,0xFE46BB
リーシャ,a10%0d5,リーシャ,100,,,,0xFE46BB
#---------------------------------------------------------------サブ
絵美里,b01%0d5,その他,100
めぐみ,b02%0d5,その他,100
薫,b03%0d5,その他,100
玲奈,b04%0d5,その他,100
舞,b05%0d5,その他,100
祈子,b06%0d5,その他,100
かなめ,b07%0d5,その他,100
道子,b08%0d5,その他,100
珠子,b09%0d5,その他,100
遙香,b10%0d5,その他,100
#---------------------------------------------------------------モブ
天舞音,c01%0d5,その他,100
聖子,c02%0d5,その他,100
リリンダ,c03%0d5,その他,100
美桜,c04%0d5,その他,100
悦子,c05%0d5,その他,100
香澄,c06%0d5,その他,100
綾夢,c07%0d5,その他,100
沙百合,c08%0d5,その他,100
愛海,c09%0d5,その他,100
ラウダ,c10%0d5,その他,100
聡美,c11%0d5,その他,100
女子生徒Ａ,c12%0d5,その他,100
女子生徒Ｂ,c13%0d5,その他,100
女子生徒Ｃ,c14%0d5,その他,100
バレー部員Ａ,c15%0d5,その他,100
バレー部員Ｂ,c16%0d5,その他,100
場内アナウンス,c17%0d5,その他,100
女子レスラー,c18%0d5,その他,100
なのか,c19%0d5,その他,100
さやか,c20%0d5,その他,100
千秋,c21%0d5,その他,100
司会者,c22%0d5,その他,100
会場アナウンス,c23%0d5,その他,100
機内アナウンス,c24%0d5,その他,100
緊急放送,c25%0d5,その他,100
アナウンス,c26%0d5,その他,100
