# フェイスサムネ位置定義ファイル
#
# 凡例:
#	キャラ名,ポーズ名,ox,oy,zorder[,ox2,oy2,zorder2]
#	キャラ名,*,ox,oy,zorder
#	*,*,ox,oy,zorder
#
# ※ ox,oy,zorderの指定が無い場合に「キャラ名,*」→「*,*」の順に定義されているものが使用されます
#    なお，"*,*"指定は一番先頭に，"キャラ名,*"はそのキャラ定義において一番前に定義する必要あります
# ※ ox2,oy2,zorder2は立ち絵から切り出す用（face別素材の場合）
#
# 調整:
#  「デバッグ／顔サムネ位置調整」にて定義済みの キャラ名/ポーズ名(*除く) の位置調整ができます
#
# 事前準備（内部向け資料）:
# ・顔領域サイズ
#   SystemConfig.FaceThumbRect = [ w, h ];
# ・data/main/facethumbdraw.tjs
# ・setup/debug/facethumbedit.*
# ・custom.tjsにロード処理
#
*,*,0,0,50
#
英玲奈,*,-10,462,100
オルガ,*,-20,461,100
フィー,*,-31,470,100
リディア,*,-30,471,100
カシュニア,*,-28,400,100
ナオミン,*,-20,477,100
カトレーヌ,*,-18,464,100
ミャウ,*,-20,453,100
かぐや,*,-35,370,100
みぞれ,*,-16,320,100
みぞれ大人,*,-6,451,100
エレン,*,-23,490,100
サラ,*,19,485,100
ルミア,*,-24,460,100
ジルダ,*,-20,438,100
マリィ,*,-28,484,100
セリカ,*,-3,455,100
ミルファ,*,-25,459,100
システィーネ,*,-40,450,100
アサミ,*,-18,430,100
ティアナ,*,-10,450,100
