#話者に対するボイス割り当て用の情報を記載します 
#話者名,ボイスファイル名,ボイスコンフィグ名,音量調整(%),エイリアス,口ぱく閾値1,口ぱく閾値2,カラー

# マッチング処理を使う場合

# コマンド指定の場合 ファイル名は↓のマッチングを使う
# @コマンド名 ファイル名 ファイル名 ファイル名  ※複数指定可能
# マッチング用コマンドタグ定義,タグ名
#__command__,vo

# __command__ を定義しなければ、コマンド名無しで @ファイル名 での直接マッチングになる
# ファイル名の正規表現マッチ用
# マッチング用正規表現定義,正規表現,マッチ位置番号,マッチ結果をカットして判定する場合の文字数
#__match__,^([^\d]+)\d\d\d\d[^\d]*$,1,2

# デフォルト定義
DEFAULT,VOICE%s%03d,ETC,100,NONAME,10,44
#---------------------------------------------------------------主人公
炎厨矢,x00_%05d,炎厨矢,100,&f.name,,,0x468FFE
#---------------------------------------------------------------メイン
英玲奈,a01_%05d,英玲奈,100,,,,0xFE46BB
オルガ,a02_%05d,オルガ,100,,,,0xFE46BB
フィー,a03_%05d,フィー,100,,,,0xFE46BB
リディア,a04_%05d,リディア,100,,,,0xFE46BB
カシュニア,a05_%05d,カシュニア,100,,,,0xFE46BB
ナオミン,a06_%05d,ナオミン,100,,,,0xFE46BB
カトレーヌ,a07_%05d,カトレーヌ,100,,,,0xFE46BB
ミャウ,a08_%05d,ミャウ,100,,,,0xFE46BB
かぐや,a09_%05d,かぐや,100,,,,0xFE46BB
みぞれ,a10_%05d,みぞれ,100,,,,0xFE46BB
みぞれ大人,a10_%05d,みぞれ,100,,,,0xFE46BB
#---------------------------------------------------------------サブ
エレン先生,b01_%05d,サブキャラ,100
サラ,b02_%05d,サブキャラ,100
ルミア,b03_%05d,サブキャラ,100
ジルダ,b04_%05d,サブキャラ,100
マリィ,b05_%05d,サブキャラ,100
セリカ,b06_%05d,サブキャラ,100
ミルファ,b07_%05d,サブキャラ,100
システィーネ,b08_%05d,サブキャラ,100
アサミ,b09_%05d,サブキャラ,100
ティアナ,b10_%05d,サブキャラ,100
#---------------------------------------------------------------モブ
女子生徒,c01_%05d,サブキャラ,100
女子生徒Ａ,c02_%05d,サブキャラ,100
女子生徒Ｂ,c03_%05d,サブキャラ,100
リリィ,c04_%05d,サブキャラ,100
アナウンス,c05_%05d,サブキャラ,100
行司の女の子,c06_%05d,サブキャラ,100
キャプテン,c07_%05d,サブキャラ,100
女子部員,c08_%05d,サブキャラ,100
ムンムン,c09_%05d,サブキャラ,100
エレクトラ,c10_%05d,サブキャラ,100
イザベル,c11_%05d,サブキャラ,100
サブリナ,c12_%05d,サブキャラ,100
ロレーヌ,c13_%05d,サブキャラ,100
魔美,c14_%05d,サブキャラ,100
マリア,c15_%05d,サブキャラ,100
ルフィーナ,c16_%05d,サブキャラ,100
リリンダ,c17_%05d,サブキャラ,100
ナスターシャ,c18_%05d,サブキャラ,100
ディーレ,c19_%05d,サブキャラ,100
美竹,c20_%05d,サブキャラ,100
深雪,c21_%05d,サブキャラ,100
舞奈,c22_%05d,サブキャラ,100
アリーシャ,c23_%05d,サブキャラ,100
ダーニャ,c24_%05d,サブキャラ,100
#---------------------------------------------------------------テスト音声用
サブキャラ,xxx_%05d,サブキャラ,100
